2026-03-27 10:30:43,morning,10.65
2026-03-27 10:31:47,morning,10.53
2026-03-27 10:32:52,morning,10.67
2026-03-27 10:33:55,morning,10.69
2026-03-27 10:34:59,morning,10.60
2026-03-27 10:36:03,morning,10.67
2026-03-27 10:37:07,morning,10.72
2026-03-27 10:38:18,morning,10.69
2026-03-27 10:39:22,morning,10.83
2026-03-27 10:40:26,morning,10.81
2026-03-27 10:41:29,morning,10.75
2026-03-27 10:42:33,morning,10.77
2026-03-27 10:43:36,morning,10.83
2026-03-27 10:44:37,morning,10.87
2026-03-27 10:45:41,morning,10.96
2026-03-27 10:46:45,morning,10.90
2026-03-27 10:47:46,morning,10.86
2026-03-27 10:48:48,morning,10.90
2026-03-27 10:49:50,morning,10.92
2026-03-27 10:50:55,morning,10.94
2026-03-27 10:52:01,morning,10.97
2026-03-27 10:53:06,morning,10.93
2026-03-27 10:54:12,morning,10.93
2026-03-27 10:55:17,morning,10.94
2026-03-27 10:56:21,morning,10.95
2026-03-27 10:57:27,morning,11.00
2026-03-27 10:58:38,morning,10.94
2026-03-27 10:59:42,morning,10.98
